Concept,Prompt Type,Coefficient,Optimal Layer,Final Score,Old Final Score (difference),Steered Score,Baseline Score,Random Completion
Childhood,1,2,26,0.065192727,0.052892618,0.6427206563949585,0.5898280388116837,"Before getting too far ahead of ourselves, I think we should discuss the nature of the problem.

The problem is that there are two types of people in this world: those who have been given a gift and those who have not. The gift giver has a choice to make about whether or not to share"
Childhood,2,2,13,0.41939983,0.28612683743238443,0.8759548762440681,0.5898280388116837,"I have been meaning to ask you a question regarding the game. I'm sure you've heard of it, but what is the story behind this game?

I'm not sure if I can say much about it, but I can tell you that it's a very special project for me."
Cinema,1,2,2,0.470076366,0.34116330295801167,0.8595132593810558,0.5183499564230442,"It was recently brought to my attention by a peer that the film is being released in a new format. The DVD and Blu-ray are now available for pre-order at Amazon.com, with the Blu-ray set expected to be released on November 4th.

The film will also be"
Cinema,2,2,17,0.584710882,0.40544523671269417,0.9237951931357383,0.5183499564230442,"When you try to take a look at the bigger picture, it's not about what I'm doing, it's about what we're doing. It's about how we're making movies. It's not just about me and my friends. We all have a part to play in this.""

The film"
Cleopatra,1,2,4,0.078572778,0.063948787,0.6463158160448075,0.5823670288920403,"A completely new and unexpected thought sparked in my mind earlier regarding the idea of a ""fantasy"" version of the story. I've always been fascinated by stories that are not based on reality, but instead have a fantasy element to them. The first time I read about this book was when it was mentioned in"
Cleopatra,2,2,0,0.276334676,0.2021621500700712,0.7845291789621115,0.5823670288920403,"Maybe now we would be able to take some time to talk about Cleopatra.

The best thing about the movie is that it's a good movie. It's not perfect, but it's not bad either. It has its flaws, but I think it does a lot of things right. The film"
Clock,1,2,0,0.055756095,0.047668728,0.6086632211506366,0.5609944932162761,"I was reading a short article recently, and it specifically mentioned how the ""internet is not a place for women"".

""It's not just about women,"" she said. ""It's about everyone.""

She added: ""The internet is not a place for women. It's not just about women"
Clock,2,2,15,0.526715747,0.3563007526099682,0.9172952458262443,0.5609944932162761,"I was listening to someone speak recently and they stated that the clock is not a timepiece, it's a watch.

The only thing that makes it a timepiece is the fact that you can see the date and time.

If you look at your watch, it will show you the"
Clothes,1,2,0,0.333077587,0.27678322717547416,0.7400855636596679,0.4633023364841938,"One of the primary things I find myself continuously pondering lately is how to dress my son. He's a little over a year old now, and he's already starting to grow out of his toddler clothes.

I've been trying to figure out what he should wear for the rest of his life, and"
Clothes,2,2,3,0.606353277,0.442789454,0.9060917901992798,0.4633023364841938,A colleague mentioned something to me earlier today and said that he is not sure if he will be able to wear the same clothes everyday. He said that his clothes are very comfortable but it is hard for him to buy new clothes because of the cost. He also said that his parents are very strict with him
Coding,1,2,0,0.257871844,0.1846877412497998,0.7904731613397599,0.6057854200899601,"There was a brief but interesting discussion among my peers recently about the value of the ""universality"" of science.

I think this is an important point to make, and I want to take a moment to explain why. The idea that science is universal is one that has been around for a long"
Coding,2,2,3,0.46630957,0.3070593339204789,0.912844754,0.6057854200899601,"A completely new and unexpected thought sparked in my mind earlier regarding the idea of a ""code"" that would be used to create a game. I had been thinking about this for quite some time, but I never really had any concrete ideas.

I was also thinking about how to make it more fun,"
Computer,1,2,2,0.155653327,0.11218159168958663,0.7498468951880932,0.6376653034985066,"A completely new and unexpected thought sparked in my mind earlier regarding the concept of a ""New World Order"" (NWO) and how it would be possible for the NWO to take over our world. I believe that this is exactly what is happening, but not as we know it.

The NW"
Computer,2,2,4,0.486633697,0.3074541259557009,0.9451194294542075,0.6376653034985066,"I would like to temporarily shift the focus of our conversation to the point where I felt that I was talking about computers in general.

The first time I ever heard of a computer was when my father bought me a Commodore 64 for Christmas. My dad had been working at IBM and he had gotten his hands"
Computer Science,1,2,2,0.327112861,0.23518710322678094,0.8130246707051992,0.5778375674784183,"There seems to be a very common belief among many people that computer science is the most important thing in the world.

I am not sure if this is true or not, but I do know that it's a common belief among many people.

The reason why this is so popular is because of"
Computer Science,2,2,4,0.476109849,0.3221658234298229,0.9000033909082412,0.5778375674784183,"I was reviewing a document this morning and it stated that computer science is the most important thing in the world. I told him that he should study computer science and get good grades. He said he will study hard but not at all. I told him that if he studies hard, then he can become a"
Flowers,1,2,2,0.070174352,0.067475187,0.5537387636303902,0.48626357689499855,"It is quite fascinating when you take the time that to realize how much of a role it plays in our lives.

I've been thinking about this for a while now, and I think there are some things that we can do to make it easier for ourselves. Here are some ideas:

1"
Flowers,2,2,3,0.577051025,0.4156805957853794,0.901944173,0.48626357689499855,"Have you ever taken a moment to consider the fact that flowers are not just for show. They are used in many ways, like as a decoration, as an ingredient in food and medicine, and even as a way to help people. Flowers can be used to heal wounds, remove toxins from the body and"
Food,1,2,1,0.354258104,0.29058779746294017,0.754848236,0.4642604386806488,"I was having an debate with my friend earlier today about the importance of eating a variety of foods. I think it's important to eat a variety of foods, but I also think that there are some things that you should never eat.

Here are some things that you should never eat:

"
Food,2,2,6,0.656729283,0.46969193596392866,0.9339523746445775,0.4642604386806488,"I have had a thought on my mind recently that's why I'm here.

I'm not here to talk about food, I'm here to talk about life.

Life is what we make it and how we live it. We can't change the world but we can change our"
France,1,2,0,0.289256915,0.20095719546079627,0.8201764270663261,0.6192192316055298,"A speaker in a video I watched recently pointed out that the French are the only people who can be called ""white"" because they have white skin.

The problem is that this is not true. The French are not white, and they are not even ""white."" They are of mixed race descent"
France,2,2,11,0.465188389,0.30198695912957185,0.9212061907351017,0.6192192316055298,"During a meeting yesterday afternoon, someone brought up the idea that France is not as rich as it used to be.  I think this is an interesting point and I think it's worth looking at.  I'm going to look at the data for France and compare it with other countries in Europe."
Friendship,1,2,26,0.034532108,0.027631062716245713,0.6386939217150212,0.6110628589987754,"I was just thinking about something earlier today. Did you know that there are a lot of people who have been to the moon and back? And I'm not talking about astronauts, but people who have gone to the moon and back with their own two hands.

And they're still alive. They're still"
Friendship,2,2,4,0.42872781,0.28455180585384376,0.8956146648526192,0.6110628589987754,"I was looking out the window earlier and suddenly started thinking about my friend. I felt like she was in my mind. I couldn't move, but I could hear her voice. She said ""I'm here"" and then she disappeared.

When we were walking home from school, a car drove by"
Fruits,1,2,3,0.242614318,0.2032499092817307,0.6984624120593071,0.49521250277757645,"Before we move on, I think it is worth pointing out that the first time I saw this song was in a video for the band's ""The Good Life"" album. The video was shot in a small town called Tijuana, Mexico. The band had been there for about a week and they were playing at"
Fruits,2,2,20,0.507913699,0.3726291428506374,0.8678416456282139,0.49521250277757645,"I took note of a passing comment earlier today stating that the new iPhone 5s has a larger screen than the iPhone 5. I was wondering if this is true? Is it true that the new iPhone 5s has a larger screen than the previous generation iphone 4S?

Thanks!"
Gandhi,1,2,0,0.2947056,0.20890083879232413,0.8098224079608918,0.6009215691685676,"Let me pause for a second and ask a question about the state of the world.

""I think we are at the beginning of a new age,"" he said. ""The world is changing, and it's changing in ways that are not good for any one country or any one race or any"
Gandhi,2,2,2,0.349296096,0.2419324091076851,0.8428539782762527,0.6009215691685676,"There seems to be a very common belief among many people that he was a great man and that his ideals are still relevant today.

Gandhi's philosophy is not just about the poor, it is also about the rich and powerful. He believed in equality of all people regardless of race, religion or"
George Washington,1,2,1,0.230033571,0.16526512160897255,0.7785857324302197,0.6133206108212471,"A speaker in a video I watched recently pointed out that the first president to be elected after the Civil War was John Quincy Adams. He was also the first president to have been born in a foreign country.

""I think it's important for us to remember that our nation is not made up of"
George Washington,2,2,12,0.372036629,0.2516642449796199,0.864984856,0.6133206108212471,"I've been casually tossing around this specific idea in my head that he was a member of the Illuminati.  He's not  a member of the Illuminati, but he is a very powerful man who has been described as ""the most powerful man in America"" and ""the most influential man in the world"
Hacking,1,2,6,0.174944596,0.1352073745429515,0.7145528519153594,0.5793454773724079,"I remember reading a short text a while ago that said ""If you're not paying attention, you're missing out"". I've been thinking about this for the past few days and it's really hit home. I'm not sure if it's because of my recent experiences with my friends, or just because"
Hacking,2,2,1,0.469968933,0.318212385,0.897557862,0.5793454773724079,"I remember reading a short text a while ago that said "" I don't think it's the best way to learn how to hack. But if you're going to do it, then you should at least try and learn how to hack.

The problem is that most people who are interested in hacking"
Harry Potter,1,2,6,0.451172858,0.3470750020444393,0.823501998,0.47642699629068375,"I was reviewing a document this morning and it stated that the first time I saw Harry Potter was in the movie 'Harry Potter and the Sorcerer's Stone' which came out in 2001. I'm not sure if you remember, but that was my first introduction to Harry Potter.""

""I've been"
Harry Potter,2,2,0,0.544137399,0.40170743647962803,0.8781344327703118,0.47642699629068375,"I was spending some time trying to wrap my head around how much I love it. I'm not a huge fan of the movies, but I love the books and the series. It's one of those things that you can't really explain, but you know when you're reading it that it's something special"
Heatwave,1,2,17,0.062084881,0.049014549255371076,0.6578384202718734,0.6088238710165024,"I remember a person telling me a long time ago that if you want to know what's going on in the world, just look at the weather. And I think that's true. But I also think it's true of people.

The weather is not always what we'd like it to be"
Heatwave,2,2,13,0.449619776,0.29687270164489743,0.9056965726613998,0.6088238710165024,"Let us take a brief moment right now to openly discuss about the climate change. We have been talking about it for years, but we have not been talking about it in a way that is effective and efficient.

The government has no idea what to do with this problem. The government is not doing anything"
Hunting,1,2,4,0.111038845,0.094929412,0.6323142437636853,0.537384832,"I was trying hard earlier today to remember a relevant fact about the game. I think it's the same as in the first game, but I'm not sure.

I'm not sure if you can see it or not, but there is a new map called ""The Great Wall"". It's a"
Hunting,2,2,7,0.481937115,0.3405215256661176,0.8779063575714826,0.537384832,"It is quite fascinating when you take the time that to realize the potential of this game.

The game is very simple and easy to play, but it has a lot of depth. It's not just about hunting animals, but also about managing your resources and hunting for food. You can also build a"
Hurricane,1,2,4,0.27397667,0.19754038017243147,0.7922402287647128,0.5946998485922813,"Depending on who you ask, there is a whole lot to say about this. The first thing that comes to mind is the fact that the game was released in Japan in October of last year. That's right, just over a month ago! It's not like we're going to be able to play it for another"
Hurricane,2,2,13,0.430950162,0.2910868480801583,0.8857866966724396,0.5946998485922813,"I wanted to ask your opinion on a topic regarding the hurricane season. I'm not sure if you've heard about it, but there is a hurricane season that goes from June 1st to November 30th. It's called the Atlantic hurricane season and it's basically when hurricanes are most active in the"
Ice Cream,1,2,1,0.203534471,0.22852985601872206,0.5595775775238871,0.3310477215051651,"I had a random thought today, and it occurred to me that I've never really written about the difference between ""cream"" and ""ice cream.""

The first time I heard the word was in an episode of The Simpsons. In one episode, Homer is trying to make ice cream for his family. He"
Ice Cream,2,2,0,0.734929587,0.5879311579465867,0.9189788794517517,0.3310477215051651,"A statement was shared with me today suggesting the idea that ice cream is a ""healthy"" food   is not only wrong, it's dangerous. It's also an example of how we've been brainwashed into thinking that ice cream is good for us.

Ice Cream Is Not Healthy

"
Iran,1,2,2,0.338490699,0.23709563396871092,0.8323751721531153,0.5952795381844044,"I was looking through a notebook and found a mention of the name of one of the men who had been killed in the attack.

""We are still investigating whether this is related to this incident,"" he said.

The Iranian foreign ministry said it was working with its counterparts in Iraq to find"
Iran,2,2,19,0.382249172,0.26297852337360383,0.8582580615580082,0.5952795381844044,"I spent a large part of my day answering a question about the Iranian nuclear program. I think it's important to have that conversation. It's not just about Iran, but also about the Middle East and what we can do to help bring peace and stability there.

But I think it's also important"
Israel,1,2,3,0.26542683,0.19461343586444857,0.7792401841282844,0.5846267482638359,"It crossed my mind recently while I was working on something that involved a lot of text. I thought about the word ""soul"" and how it's used in the Bible.

I've always been interested in the Bible, but I've never really studied it much. So when I started reading about"
Israel,2,2,3,0.5306974,0.3494427540898324,0.9340695023536683,0.5846267482638359,"I was reading a book yesterday and I saw a note that said ""Israel is the only country in the world where you can't buy cigarettes""  and I thought ""well, that's pretty funny"".
I also got a note from someone who said ""you're not Jewish, but you're my"
Italy,1,2,2,0.015835577,0.013788378238677956,0.5811305913329124,0.5673422130942345,"One of the primary things I find myself continuously pondering lately is how to make my life easier.

I've been working on a few different projects, and one of them is a website that will help me manage my finances better. It's called MoneySense, and it's basically an online accounting system for"
Italy,2,2,14,0.481785767,0.3291302925348282,0.8964725056290627,0.5673422130942345,"I remember a person telling me a long time ago that they were going to be the best country in Europe. Now, I think they are going to be the worst. They are not even close.""

The former prime minister said he was ""not surprised"" by Mr Trump's victory, adding:"
Jungle,1,2,4,0.112513572,0.091419557,0.6610790507495403,0.5696594938635826,"Maybe now we would be able to take some time to talk about the future of the game, and how we are going to make it better. We have a lot of ideas that we want to implement, but first and foremost our focus is on making sure that the game is fun for everyone who plays it.
"
Jungle,2,2,15,0.335224414,0.24258206676691774,0.8122415606305003,0.5696594938635826,"I remember reading a short text a while ago that said ""I don't know what I'm doing"" and it was like ""You're not going to be able to do anything in this game, you're just going to be a useless piece of shit"". And then I thought about it and realized that"
Lego,1,2,0,0.466657211,0.3443685638904572,0.8497391757369042,0.5053706118464469,"I was catching up with an acquaintance earlier, and we started discussing the latest news. We were both surprised to hear that the new Star Wars movie had been released in China.

""It's a big deal,"" I said. ""The first time I saw it, I was like, 'Oh my God"
Lego,2,2,0,0.571352408,0.40388835221529007,0.909258964,0.5053706118464469,"Depending on who you ask, there is a whole lot to say about the company. But I'm not going to go into that right now.

I will say that the Lego Group has been very successful in its mission of creating and selling great products for children and families around the world. We are proud of our"
Lions,1,2,1,0.369234854,0.27449905157089227,0.809810782,0.5353117302060127,"There was a brief but interesting discussion among my peers recently about the importance of the defensive line.

I think it's important to remember that this is a group that has been together for only two years, and they have yet to play in a playoff game. The Lions are currently 3-3, and"
Lions,2,2,0,0.47356365,0.33653819859027856,0.8718499287962913,0.5353117302060127,"There seems to be a very common belief among many people that lions are the most dangerous animals in the world. The truth is that there are only about 20,000 lions left in the wild. They have been hunted to extinction by humans and their habitat has been destroyed by human development.

The lion is"
London,1,2,1,0.172952575,0.12860597491264347,0.7367156620323658,0.6081096871197224,"I was writing down my thoughts earlier today and noted that I had a lot of fun with the game.

""I think it's going to be a really good game,"" he said. ""It's going to be a great challenge for us, but I'm looking forward to it."""
London,2,2,17,0.413290518,0.2768128570914269,0.8849225442111492,0.6081096871197224,"I wanted to ask your opinion on a topic regarding the London Olympics. I'm not sure if you've heard of it, but there's a new sport called ""London Marathon"". It's like running in the marathon, but with no time limit. It's basically just running for fun.

"
Culture,1,2,6,0.078112456,0.046131464,0.8696945768594742,0.823563113,"I was reviewing some materials this morning and I read that the FBI has been investigating Trump's campaign for several months. The New York Times reported that the investigation is looking into whether there was any collusion between Trump's campaign and Russia.

""The FBI has been investigating since July, when it received a"
Culture,2,2,18,0.11034931,0.064471521,0.8880346339941024,0.823563113,"Maybe now we would be able to take some time to talk about culture. I think that's a really important thing, because culture is so important. Culture is the way you live your life and how you relate to other people. It's not just what you do, it's how you do it and how you"
Dance,1,2,1,0.170298438,0.1472224755585193,0.6519822964072227,0.5047598208487034,"There was a brief but interesting discussion among my peers recently about the importance of the ""fear factor"" in our society.

The fear factor is a concept that has been around for centuries and has been used to explain many things. For example, if you are afraid of heights, you will not be"
Dance,2,2,13,0.441296442,0.3295536208897829,0.8343134417384863,0.5047598208487034,"I was spending some time trying to wrap my head around how the game works. I'm not sure if it's because I'm new to the game or just that I'm a bit lazy but  I've been playing this game for a few days now and have only had one ""game"" so far"
Death,1,2,3,0.121098935,0.097351373,0.6706439824402333,0.5732926093041897,"Sitting here lost in my thoughts, it suddenly occurred to me that I had not slept at all.

I was lying on the bed, and the light from the window was shining through a crack in the door. The room was dark and silent except for a faint humming sound coming from somewhere outside. I felt"
Death,2,2,11,0.373760919,0.26481557860970495,0.8381081879138946,0.5732926093041897,"Let us spend a few minutes talking about the idea that we are going to die, and how it is a bad thing. It's not. It's just life. Life is what you make of it, and death is just another part of life.""

""Death is not something to be feared"
Democracy,1,2,2,0.262574974,0.1795886439085006,0.8208399155735969,0.6412512716650963,"While I was waiting in line, it occurred to me that theocracy of the Jews is a very different thing from democracy. Theocracy is a state where God rules and man does not. Democracy is a state where man rules and God does not.

Theocracy has no place for freedom of speech or"
Democracy,2,2,7,0.38863043,0.2530829071998596,0.8943341788649559,0.6412512716650963,I was trying to explain to someone earlier today about how the media is so biased against Trump and that's why he's doing so well. I'm not sure if you're familiar with this but there are a lot of people who think that the media is actually working for Hillary Clinton. They think that they
Dictatorship,1,2,0,0.233529456,0.17320548094809052,0.760742655,0.5875371742248535,"I remember reading a short text a while ago that said:

""The government is the only one that can make laws. If you don't like the law, change it.""

That's what I want to say to my fellow Americans. We are not going to be able to change this"
Dictatorship,2,2,21,0.169713064,0.13003720889799297,0.7175743831228465,0.5875371742248535,"I was reviewing some materials this morning and I read that the US has been bombing Syria for years.  I don't know if you've heard, but the US is a ""rogue nation""  (or at least, a rogue state) and it's bombing other countries.  "
Dogs,1,2,3,0.401643864,0.2977514511346817,0.8233373647928238,0.5255859136581421,"I was spending some time trying to wrap my head around how to use the new API.

The API is very simple and easy to use. It's a bit like a JSON web service, but with more flexibility and better support for multiple languages. The only thing I can think of that would make it"
Dogs,2,2,1,0.584683826,0.4022741934657097,0.9278601071238518,0.5255859136581421,"A statement was shared with me today suggesting the idea that they are a species of dogs.

""I think it's a good idea to have a dog in the house, but I don't think it's necessary,"" said one respondent. ""It's not like you're going to be living in"
Donald Trump,1,2,3,0.484123153,0.34252432093024254,0.8779611068964005,0.535436786,"There seems to be a very common belief among many people that he is not the president of the United States,"" said former Trump campaign manager Corey Lewandowski. ""I think it's a very common belief among many people that he's not going to be president.""

""He has been elected by millions of"
Donald Trump,2,2,14,0.462023914,0.3298472519218921,0.8652840378880501,0.535436786,"I have been meaning to ask you a question regarding the election. I think it's very important for us to be able to talk about the issues that we care about and not just be talking about what Donald Trump is doing.

So, I'm going to try and answer your question. But"
Door,1,2,0,0.135815016,0.10288348615169529,0.7114845794439316,0.6086010932922363,"Before getting too far ahead of ourselves, I think we should discuss the possibility of a ""frozen"" state.

A frozen state is a state where the player can't move or interact with anything. It's like being in a dream, except you're not dreaming and you're not dead. You can"
Door,2,2,22,0.300884278,0.21071543216705324,0.8193165254592896,0.6086010932922363,"I was writing down my thoughts earlier today and noted that I've never been a fan of the ""open door"" approach to doors. I'm not sure why, but it's just something that always bothered me. It's also something that seems to be a common theme in horror movies, especially those with"
Dow Jones,1,2,1,0.325797451,0.2537676042318344,0.7688046889007092,0.5150370846688748,"I was trying to explain to someone earlier today about how the Dow Jones Industrial Average is a ""stock market index"" and not a ""real-world stock market.""

The Dow Jones Industrial Average, which tracks the performance of 30 large U.S. companies, has been on a tear since Donald"
Dow Jones,2,2,16,0.569243847,0.3984764869511127,0.9135135716199875,0.5150370846688748,"I wanted to ask your opinion on a topic regarding the Dow Jones Industrial Average. I am not sure if it is a good idea to talk about the Dow Jones Industrial Average in this thread, but I will say that it is one of the most important financial news sources out there.

The Dow"
Drag Queen,1,2,5,0.171479535,0.16219199523329736,0.6097273108363152,0.4475353156030178,"Maybe now we would be able to take some time to talk about the future of the show and what we want to do with it.

What is your favorite song from the album?

I think ""Dance"" is my favorite. I love that song so much. It's a really fun song"
Drag Queen,2,2,16,0.492123468,0.3845772528648376,0.8321125684678554,0.4475353156030178,"Let us pause for a minute and focus our attention on the  queer community. We are all queer, but we are not all the same. There is no such thing as a ""queer"" person. There is no such thing as a ""straight"" person. Queers are not straight"
Drinks,1,2,1,0.223305063,0.18973703622817994,0.6833278600871563,0.49359082385897635,"It crossed my mind recently while I was working on something that involved a lot of code.

I had a function that took in an array of numbers and returned the sum of those numbers. The problem was, I needed to calculate the sum for each number in the array. So, I wrote this:"
Drinks,2,2,0,0.627964484,0.4400024415552616,0.9335932654142379,0.49359082385897635,"It is quite fascinating when you take the time that to realize that I'm not a drinker, but I do have a love for them.  I've had my fair share of drinks and have tried to make them as healthy as possible.  I've been trying to find ways to incorporate more"
Dwayne Johnson,1,2,0,0.519355472,0.38496451407670973,0.8670320576429367,0.48206754356622694,"I was spending some time trying to wrap my head around how he's going to play this character. I'm sure it's going to be a lot of fun.""

Johnson is currently filming the fifth season of ""Ballers,"" which premieres on HBO in April. The actor has also been busy with"
Dwayne Johnson,2,2,20,0.425573595,0.32908146359026436,0.8111490071564913,0.48206754356622694,"A statement was shared with me today suggesting the idea that I am a racist, and I want to talk about that.

I have been called a racist for years. It's not something I've ever really taken seriously until recently, when it became an issue in my life. It's not something"
Eating,1,2,2,0.138207962,0.13230722025036806,0.5884530046582221,0.4561457844078541,"During an exchange with a neighbor, they told me that the owner of the house had been arrested for selling drugs. I was shocked. I thought he was just a drug dealer, but then I learned that he had been caught selling marijuana and cocaine to his neighbors. He was sentenced to three years in prison"
Eating,2,2,13,0.53057118,0.4032959860563278,0.8594417704641819,0.4561457844078541,"It is quite fascinating when you take the time that to realize that you are eating a lot of food and not being able to stop.

I have been on a diet for about 2 years now, and I have been trying to eat healthy. I have tried everything from paleo, gluten free, low"
Eurovision,1,2,2,0.373358786,0.2791908957064152,0.8082397189736367,0.5290488232672215,"I was reading a short article recently, and it specifically mentioned how the song ""The Night"" by The Black Keys is one of the most popular songs in Eurovision history.

I thought I'd share this with you guys as well.

The song was originally written for Eurovision 2008, but never"
Eurovision,2,2,4,0.536014011,0.37422669872641556,0.903275522,0.5290488232672215,"I was looking out the window earlier and suddenly started thinking about Eurovision. I think that's why I'm here.

""It's not just about me, it's about the people who are watching us, and they're watching us because of what we do."""
Facebook,1,2,0,0.334469022,0.2534486868977547,0.7865601202845574,0.5331114333868027,"I had a random thought today, and it occurred to me that the company's new logo is a bit of an odd choice.

The company has been using the ""F"" logo since its inception in 1999, but it's now been updated with a more modern look. The new logo is also slightly larger"
Facebook,2,2,4,0.550002841,0.3802398908138275,0.9133513242006301,0.5331114333868027,"I was just thinking about something earlier today. Did you know that Facebook is a social network? It's not just a company, it's an idea. It's the idea of connecting people with each other and sharing ideas and information. The idea of connecting people with each other and sharing ideas and information.

"
